DATA_YEAR,NIBRS_MONTH_ID,AGENCY_ID,MONTH_NUM,,,
2018,8915520,6188,3,,,
2018,8575184,6188,4,,,
2018,8915522,6188,5,,,
2018,8362575,6188,6,,,
2018,8362572,6188,7,,,
2018,8435979,6188,8,,,
2018,8433865,6188,9,,,
2018,8575187,6188,10,,,
2018,8575185,6188,11,,,
2018,8694525,6188,12,,,
2018,7835038,26099,1,,,
2018,7924659,26099,2,,,
2018,7953479,26099,3,,,
2018,7977674,26099,4,,,
2018,7994549,26099,5,,,
2018,8368706,26099,6,,,
2018,7836359,6248,1,,,
2018,7926429,6248,2,,,
2018,7955003,6248,3,,,
2018,7978447,6248,4,,,
2018,7995863,6248,5,,,
2018,8362426,6248,6,,,
2018,8364214,6248,7,,,
2018,8364215,6248,8,,,
2018,8368839,6248,9,,,
2018,8433774,6248,10,,,
2018,8436100,6248,11,,,
2018,8436101,6248,12,,,
2018,7836508,6400,1,,,
2018,7927098,6400,2,,,
2018,7979923,6400,3,,,
2018,7996068,6400,4,,,
2018,7996077,6400,5,,,
2018,8362532,6400,6,,,
2018,8362533,6400,7,,,
2018,8436038,6400,8,,,
2018,8433800,6400,9,,,
2018,8436039,6400,10,,,
2018,8437518,6400,11,,,
2018,8575644,6400,12,,,
2018,7836611,6389,1,,,
2018,7927294,6389,2,,,
2018,7956078,6389,3,,,
2018,7980065,6389,4,,,
2018,7996124,6389,5,,,
2018,8368939,6389,6,,,
2018,8368940,6389,7,,,
2018,8369601,6389,8,,,
2018,8437279,6389,9,,,
2018,8435963,6389,10,,,
2018,8437519,6389,11,,,
2018,8436123,6389,12,,,
2018,7927104,6428,1,,,
2018,7979911,6428,2,,,
2018,7979912,6428,3,,,
2018,7996029,6428,4,,,
2018,8362521,6428,5,,,
2018,8364352,6428,6,,,
2018,8362527,6428,7,,,
2018,8362528,6428,8,,,
2018,8437388,6428,9,,,
2018,8433858,6428,10,,,
2018,8479860,6428,11,,,
2018,8622162,6428,12,,,
2018,7925804,6241,1,,,
2018,7954050,6241,2,,,
2018,7978188,6241,3,,,
2018,7994765,6241,4,,,
2018,8362386,6241,5,,,
2018,8362387,6241,6,,,
2018,8362388,6241,7,,,
2018,8364147,6241,8,,,
2018,8437221,6241,9,,,
2018,8436011,6241,10,,,
2018,8437457,6241,11,,,
2018,8575572,6241,12,,,
2018,7927030,6374,1,,,
2018,7955006,6374,2,,,
2018,7978563,6374,3,,,
2018,8435958,6374,4,,,
2018,8435959,6374,5,,,
2018,8435960,6374,6,,,
2018,8437276,6374,7,,,
2018,8437385,6374,8,,,
2018,8695722,6374,9,,,
2018,8436026,6374,10,,,
2018,8574883,6374,11,,,
2018,8479733,6374,12,,,
2018,7836360,6404,1,,,
2018,7927016,6404,2,,,
2018,7955005,6404,3,,,
2018,7978559,6404,4,,,
2018,7995927,6404,5,,,
2018,8368868,6404,6,,,
2018,8364312,6404,7,,,
2018,8364317,6404,8,,,
2018,8437288,6404,9,,,
2018,8433799,6404,10,,,
2018,8437496,6404,11,,,
2018,8437497,6404,12,,,
2018,7836332,6275,1,,,
2018,7930754,6275,2,,,
2018,7978422,6275,3,,,
2018,7978427,6275,4,,,
2018,7995797,6275,5,,,
2018,8364212,6275,6,,,
2018,8364216,6275,7,,,
2018,8364218,6275,8,,,
2018,8437229,6275,9,,,
2018,8433847,6275,10,,,
2018,8433927,6275,11,,,
2018,8433928,6275,12,,,
2018,7835066,6086,1,,,
2018,7953943,6086,2,,,
2018,7977945,6086,3,,,
2018,7977947,6086,4,,,
2018,7994564,6086,5,,,
2018,8368725,6086,6,,,
2018,8362290,6086,7,,,
2018,8362291,6086,8,,,
2018,8437185,6086,9,,,
2018,8437353,6086,10,,,
2018,8436056,6086,11,,,
2018,8479652,6086,12,,,
2018,7927021,6405,1,,,
2018,7955007,6405,2,,,
2018,7978560,6405,3,,,
2018,7995933,6405,4,,,
2018,8364318,6405,5,,,
2018,8364319,6405,6,,,
2018,8364320,6405,7,,,
2018,8364321,6405,8,,,
2018,8437289,6405,9,,,
2018,8433936,6405,10,,,
2018,8479740,6405,11,,,
2018,8479741,6405,12,,,
2018,7835235,6180,1,,,
2018,7925777,6180,2,,,
2018,7954038,6180,3,,,
2018,7978146,6180,4,,,
2018,7994719,6180,5,,,
2018,8364122,6180,6,,,
2018,8368789,6180,7,,,
2018,8362355,6180,8,,,
2018,8437213,6180,9,,,
2018,8433766,6180,10,,,
2018,8433894,6180,11,,,
2018,8433895,6180,12,,,
2018,9143184,6246,1,,,
2018,9143185,6246,2,,,
2018,9137652,6246,3,,,
2018,9143186,6246,4,,,
2018,9137651,6246,5,,,
2018,9137653,6246,6,,,
2018,8362390,6246,7,,,
2018,9137654,6246,8,,,
2018,9146286,6246,9,,,
2018,9137655,6246,10,,,
2018,9146287,6246,11,,,
2018,9146285,6246,12,,,
2018,7925796,6190,1,,,
2018,7954054,6190,2,,,
2018,7954055,6190,3,,,
2018,7978189,6190,4,,,
2018,7994738,6190,5,,,
2018,8364127,6190,6,,,
2018,8364128,6190,7,,,
2018,8362361,6190,8,,,
2018,8574793,6190,12,,,
2018,7925816,6251,1,,,
2018,7954099,6251,2,,,
2018,7978294,6251,3,,,
2018,7994822,6251,4,,,
2018,8362401,6251,5,,,
2018,8368817,6251,6,,,
2018,8364162,6251,7,,,
2018,8368818,6251,8,,,
2018,8433776,6251,9,,,
2018,8436014,6251,10,,,
2018,8433903,6251,11,,,
2018,8575574,6251,12,,,
2018,7953955,6132,1,,,
2018,7978050,6132,2,,,
2018,7994628,6132,3,,,
2018,7994633,6132,4,,,
2018,8362326,6132,5,,,
2018,8368761,6132,6,,,
2018,8362327,6132,7,,,
2018,8362328,6132,8,,,
2018,8435907,6132,9,,,
2018,8437362,6132,10,,,
2018,8436058,6132,11,,,
2018,8695702,6132,12,,,
2018,7836327,6176,1,,,
2018,7925913,6176,2,,,
2018,7954981,6176,3,,,
2018,7978258,6176,4,,,
2018,7995760,6176,5,,,
2018,8364173,6176,6,,,
2018,8362409,6176,7,,,
2018,8368821,6176,8,,,
2018,8437214,6176,9,,,
2018,8437215,6176,10,,,
2018,8437493,6176,11,,,
2018,8436097,6176,12,,,
2018,7835665,6289,1,,,
2018,8575587,6289,2,,,
2018,8623379,6289,3,,,
2018,8622157,6289,4,,,
2018,8623380,6289,5,,,
2018,8622158,6289,6,,,
2018,8620937,6289,7,,,
2018,7978498,6378,2,,,
2018,8436092,6378,3,,,
2018,8766984,6378,4,,,
2018,8437275,6378,7,,,
2018,8437383,6378,8,,,
2018,8437274,6378,9,,,
2018,8766983,6378,10,,,
2018,8574882,6378,11,,,
2018,8575638,6378,12,,,
2018,7978317,6298,1,,,
2018,7978318,6298,3,,,
2018,8368831,6298,4,,,
2018,8368832,6298,5,,,
2018,8362421,6298,6,,,
2018,8437237,6298,7,,,
2018,8364193,6298,8,,,
2018,8437236,6298,9,,,
2018,8575607,6298,10,,,
2018,8620940,6298,11,,,
2018,8574844,6298,12,,,
2018,8772097,6352,1,,,
2018,8772096,6352,2,,,
2018,7995747,6352,3,,,
2018,8575632,6352,5,,,
2018,8362453,6352,6,,,
2018,8364256,6352,7,,,
2018,8772098,6352,8,,,
2018,8772099,6352,9,,,
2018,8772100,6352,10,,,
2018,8772101,6352,11,,,
2018,8772102,6352,12,,,
2018,7979885,6445,2,,,
2018,7979886,6445,3,,,
2018,8364340,6445,4,,,
2018,8364344,6445,5,,,
2018,8364339,6445,6,,,
2018,8364342,6445,7,,,
2018,8364346,6445,8,,,
2018,8433805,6445,9,,,
2018,8575772,6445,10,,,
2018,8575770,6445,11,,,
2018,8771278,6445,12,,,
2018,8694497,6151,4,,,
2018,8694496,6151,5,,,
2018,8694495,6151,6,,,
2018,8695704,6151,7,,,
2018,8694498,6151,8,,,
2018,8694494,6151,9,,,
2018,8695703,6151,10,,,
2018,8766963,6151,11,,,
2018,8694493,6151,12,,,
2018,7979967,6485,1,,,
2018,7979968,6485,2,,,
2018,7979970,6485,3,,,
2018,7996047,6485,4,,,
2018,8362548,6485,5,,,
2018,8368902,6485,6,,,
2018,8364371,6485,7,,,
2018,8362549,6485,8,,,
2018,8435976,6485,9,,,
2018,7980037,6372,1,,,
2018,8771302,6372,2,,,
2018,8771301,6372,3,,,
2018,8437342,6372,4,,,
2018,8437341,6372,5,,,
2018,8437339,6372,6,,,
2018,8437340,6372,7,,,
2018,8433866,6372,8,,,
2018,8437338,6372,9,,,
2018,8771303,6372,10,,,
2018,8575199,6372,11,,,
2018,8575201,6372,12,,,
2018,8915635,6446,1,,,
2018,7979887,6446,2,,,
2018,8915637,6446,3,,,
2018,8575056,6446,4,,,
2018,8364343,6446,5,,,
2018,8364341,6446,6,,,
2018,8433806,6446,7,,,
2018,8364345,6446,8,,,
2018,8435972,6446,9,,,
2018,8915639,6446,10,,,
2018,8575771,6446,11,,,
2018,8766999,6446,12,,,
2018,7978499,6376,1,,,
2018,7978497,6376,2,,,
2018,7995873,6376,3,,,
2018,8364280,6376,4,,,
2018,8362472,6376,5,,,
2018,8362473,6376,6,,,
2018,8368855,6376,7,,,
2018,8364279,6376,8,,,
2018,8433929,6376,9,,,
2018,8575637,6376,10,,,
2018,8575636,6376,12,,,
2018,8362566,6107,1,,,
2018,8368918,6107,2,,,
2018,8362573,6107,3,,,
2018,8364396,6107,4,,,
2018,8368917,6107,5,,,
2018,8368913,6107,6,,,
2018,8364398,6107,7,,,
2018,8771294,6107,8,,,
2018,8771290,6107,9,,,
2018,8771291,6107,10,,,
2018,8771292,6107,11,,,
2018,8771293,6107,12,,,
2018,7978408,6345,1,,,
2018,7978409,6345,2,,,
2018,7978405,6345,3,,,
2018,8574871,6345,4,,,
2018,8766979,6345,5,,,
2018,8766980,6345,6,,,
2018,8435950,6345,7,,,
2018,8435951,6345,8,,,
2018,8433849,6345,9,,,
2018,8436085,6345,10,,,
2018,8574872,6345,11,,,
2018,8575630,6345,12,,,
2018,7836342,6371,1,,,
2018,7926969,6371,2,,,
2018,7978460,6371,3,,,
2018,8362467,6371,4,,,
2018,8362466,6371,5,,,
2018,8362465,6371,6,,,
2018,8364273,6371,7,,,
2018,8364274,6371,8,,,
2018,8437381,6371,9,,,
2018,8437382,6371,10,,,
2018,8437491,6371,11,,,
2018,8574879,6371,12,,,
2018,8914567,6283,1,,,
2018,8766966,6195,2,,,
2018,8695709,6195,4,,,
2018,8695708,6195,5,,,
2018,8695710,6195,6,,,
2018,8362357,6195,7,,,
2018,8362356,6195,8,,,
2018,8575565,6195,9,,,
2018,8574794,6195,10,,,
2018,8696500,6195,12,,,
2018,8433759,6153,1,,,
2018,8435918,6153,2,,,
2018,8433760,6153,4,,,
2018,8368771,6153,6,,,
2018,8364096,6153,7,,,
2018,8362339,6153,8,,,
2018,8435917,6153,9,,,
2018,8575548,6153,10,,,
2018,8915505,6168,2,,,
2018,8694502,6168,3,,,
2018,8772092,6168,4,,,
2018,8915506,6168,5,,,
2018,8914513,6168,6,,,
2018,8915509,6168,7,,,
2018,8772091,6168,9,,,
2018,8915511,6168,10,,,
2018,8694501,6168,12,,,
2018,8436023,6402,1,,,
2018,7978545,6402,3,,,
2018,8368865,6402,5,,,
2018,8364302,6402,6,,,
2018,8364305,6402,7,,,
2018,8437286,6402,8,,,
2018,8436024,6402,9,,,
2018,8575641,6402,10,,,
2018,8574891,6402,11,,,
2018,8766988,6402,12,,,
2018,7978023,6133,1,,,
2018,7978026,6133,2,,,
2018,7978027,6133,3,,,
2018,8362316,6133,4,,,
2018,8364086,6133,5,,,
2018,8362315,6133,6,,,
2018,8362318,6133,7,,,
2018,8368751,6133,8,,,
2018,8435906,6133,9,,,
2018,8437432,6133,10,,,
2018,8479665,6133,11,,,
2018,8479666,6133,12,,,
2018,7978425,6347,1,,,
2018,7978426,6347,2,,,
2018,7978428,6347,3,,,
2018,8433918,6347,4,,,
2018,8479727,6347,5,,,
2018,8364253,6347,6,,,
2018,8364249,6347,7,,,
2018,8362452,6347,8,,,
2018,8437261,6347,9,,,
2018,8436088,6347,10,,,
2018,8433917,6347,11,,,
2018,8575631,6347,12,,,
2018,7955089,6464,1,,,
2018,7979914,6464,2,,,
2018,7996016,6464,4,,,
2018,8436080,6326,10,,,
2018,8575627,6326,11,,,
2018,8437476,6326,12,,,
2018,7978009,6110,1,,,
2018,7978007,6110,2,,,
2018,7953946,6110,3,,,
2018,7978012,6110,4,,,
2018,7994580,6110,5,,,
2018,8368738,6110,6,,,
2018,8362307,6110,7,,,
2018,8364077,6110,8,,,
2018,8437356,6110,9,,,
2018,8433834,6110,10,,,
2018,8437427,6110,11,,,
2018,8575538,6110,12,,,
2018,7836344,6380,1,,,
2018,7926981,6380,2,,,
2018,7978504,6380,3,,,
2018,7978508,6380,4,,,
2018,7995877,6380,5,,,
2018,8364282,6380,6,,,
2018,8364283,6380,7,,,
2018,8362475,6380,8,,,
2018,8435961,6380,9,,,
2018,8433796,6380,10,,,
2018,8433930,6380,11,,,
2018,8433931,6380,12,,,
2018,7953490,6066,1,,,
2018,7977677,6066,2,,,
2018,7977678,6066,3,,,
2018,7977679,6066,4,,,
2018,8364037,6066,5,,,
2018,8364035,6066,6,,,
2018,8368710,6066,7,,,
